ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,equity_usd,margin_level,close_reason
1560950250,2025-06-11T21:11:58.296000,2025-06-11T21:16:09.111000,buy,0.01,0.01,BTCUSD,109140.91,109094.61,109094.61,,-0.16,0,-0.46,,,sl
1558492225,2025-06-10T15:37:00.971000,2025-06-10T15:38:34.655000,sell,0.01,0.01,BTCUSD,108642.97,108676,108746.92,,-0.16,0,-0.33,,,user
1558473828,2025-06-10T15:31:01.040000,2025-06-10T15:36:11.175000,sell,0.01,0.01,BTCUSD,108954.69,108727.55,108727.55,,-0.16,0,2.27,,,sl
1558453997,2025-06-10T15:21:02.810000,2025-06-10T15:22:31.340000,buy,0.01,0.01,BTCUSD,109126.31,109059.59,109059.59,,-0.16,0,-0.66,,,sl
1558450316,2025-06-10T15:19:13.295000,2025-06-10T15:20:40.011000,sell,0.01,0.01,BTCUSD,108982.8,109081.57,109081.57,,-0.16,0,-0.99,,,sl
1552872712,2025-06-06T08:31:05.683000,2025-06-06T08:36:43.299000,buy,0.01,0.01,BTCUSD,103529.63,103496.61,103496.61,,-0.16,0,-0.33,,,sl
1552843869,2025-06-06T08:12:40.200000,2025-06-06T08:27:00.424000,buy,0.01,0.01,BTCUSD,103425.49,103499.75,103441.49,,-0.16,0,0.75,,,user
1552839732,2025-06-06T08:10:00.716000,2025-06-06T08:12:02.337000,buy,0.01,0.01,XAUUSD,3361.249,3359.808,3359.808,,-0.11,0,-1.44,,,sl
1549967262,2025-06-04T21:57:52.380000,2025-06-04T22:11:09.265000,sell,0.01,0.01,BTCUSD,104926.88,104911,104911,,-0.16,0,0.16,,,sl
1549966561,2025-06-04T21:48:10.614000,2025-06-04T21:57:44.907000,buy,0.01,0.01,BTCUSD,104990.54,104931.91,104931.91,,-0.16,0,-0.59,,,sl
1549965667,2025-06-04T21:39:16.537000,2025-06-04T21:45:20.330000,sell,0.01,0.01,BTCUSD,104896.92,104934.04,104934.04,,-0.16,0,-0.37,,,sl
1549965393,2025-06-04T21:37:02.100000,2025-06-04T21:39:16.245000,buy,0.01,0.01,BTCUSD,104982.34,104898.62,104898.62,,-0.16,0,-0.83,,,sl
1549916065,2025-06-04T19:10:39.238000,2025-06-04T19:18:41.568000,sell,0.01,0.01,BTCUSD,104880,104962.32,104962.32,,-0.16,0,-0.82,,,sl
1549890890,2025-06-04T18:41:34.775000,2025-06-04T19:05:07.227000,sell,0.01,0.01,BTCUSD,105090.84,105031.32,105031.32,,-0.16,0,0.6,,,sl
1549882265,2025-06-04T18:20:12.850000,2025-06-04T18:41:34.775000,buy,0.01,0.01,BTCUSD,105162.51,105092.88,105092.88,,-0.16,0,-0.7,,,sl
1549881795,2025-06-04T18:19:09.062000,2025-06-04T18:19:33.282000,sell,0.01,0.01,BTCUSD,105108.9,105155.74,105155.74,,-0.16,0,-0.47,,,sl
1549881377,2025-06-04T18:18:08.361000,2025-06-04T18:18:31.239000,buy,0.01,0.01,BTCUSD,105157.2,105127.32,105127.32,,-0.16,0,-0.3,,,sl
1549876118,2025-06-04T18:09:08.469000,2025-06-04T18:16:40.224000,sell,0.01,0.01,BTCUSD,105130.26,105127.32,105127.32,,-0.16,0,0.03,,,sl
1549865382,2025-06-04T18:02:23.340000,2025-06-04T18:08:02.961000,buy,0.01,0.01,BTCUSD,105196.79,105212.88,105212.88,,-0.16,0,0.16,,,sl
1549848759,2025-06-04T17:44:54.262000,2025-06-04T18:00:06.417000,sell,0.01,0.01,BTCUSD,105115.61,105098.29,105098.29,,-0.16,0,0.18,,,sl
1549846475,2025-06-04T17:42:00.743000,2025-06-04T17:42:09.158000,buy,0.01,0.01,BTCUSD,105160.47,105149.56,105151.63,,-0.16,0,-0.1,,,sl
1549841865,2025-06-04T17:38:02.770000,2025-06-04T17:41:03.617000,sell,0.01,0.01,BTCUSD,105117.55,105178.64,105178.64,,-0.16,0,-0.61,,,sl
1548022732,2025-06-04T00:24:20.467000,2025-06-04T00:47:44.055000,sell,0.01,0.01,BTCUSD,105426.47,105345.82,105345.82,104426.2,-0.16,0,0.8,,,sl
1548007189,2025-06-04T00:10:49.468000,2025-06-04T00:11:30.464000,sell,0.01,0.01,BTCUSD,105407.2,105462.42,105462.42,,-0.16,0,-0.55,,,sl
1547966251,2025-06-03T23:13:03.955000,2025-06-03T23:53:36.045000,sell,0.01,0.01,BTCUSD,105731.8,105417.19,105417.19,,-0.16,0,3.15,,,sl
